iso3,country,lon,lat
TLS,Timor-Leste,126.152305,-8.833259
TTO,Trinidad and Tobago,-61.4225,10.445
TUN,Tunisia,9.506635,33.828775
TUR,Turkiye,35.2433,38.9637
TWN,Taiwan,121.028716,23.633015
TZA,Tanzania,34.828294,-6.335469
UGA,Uganda,32.307728,1.403281
UKR,Ukraine,31.083199,48.814191
URY,Uruguay,-55.818332,-32.531166
USA,United States,-98.5795,39.8283
UZB,Uzbekistan,64.492167,41.365899
VEN,Venezuela,-66.531618,6.44338
VNM,Vietnam,108.2772,14.0583
VUT,Vanuatu,167.237007,-15.612173
XKX,Kosovo,20.903,42.6026
YEM,Yemen,47.856723,15.792977
ZAF,South Africa,22.9375,-30.5595
ZMB,Zambia,27.686765,-13.099743
ZWE,Zimbabwe,29.057043,-18.889699
